Job Id,Work Type,Job Title,Experience,Qualifications,Salary Range,location,Country,Role,Job Description
1,Intern,Digital Marketing Specialist,5 to 15 Years,M.Tech,$59K-$99K,Douglas,Isle of Man,Social Media Manager,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.. Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising. Manage and grow social media accounts, create engaging content, and interact with the online community. Develop social media content calendars and strategies. Monitor social media trends and engagement metrics."
2,Intern,Web Developer,2 to 12 Years,BCA,$56K-$116K,Ashgabat,Turkmenistan,Frontend Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.. HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX). Design and code user interfaces for websites, ensuring a seamless and visually appealing user experience. Collaborate with UX designers to optimize user journeys. Ensure cross-browser compatibility and responsive design."
3,Temporary,Operations Manager,0 to 12 Years,PhD,$61K-$104K,Macao,"Macao SAR, China",Quality Control Manager,"Quality Control Managers establish and enforce quality standards within an organization. They develop quality control processes, perform inspections, and implement corrective actions to maintain product or service quality.. Quality control processes and methodologies Statistical process control (SPC) Root cause analysis and corrective action Quality management systems (e.g., ISO 9001) Compliance and regulatory knowledge. Establish and enforce quality control standards and procedures. Conduct quality audits and inspections. Collaborate with production teams to address quality issues and implement improvements."
4,Full-Time,Network Engineer,4 to 11 Years,PhD,$65K-$91K,Porto-Novo,Benin,Wireless Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.. Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues. Design, configure, and optimize wireless networks, ensuring reliable and secure wireless connectivity. Troubleshoot wireless network issues. Plan and implement wireless network upgrades."
5,Intern,Event Manager,1 to 12 Years,MBA,$64K-$87K,Santiago,Chile,Conference Manager,"A Conference Manager coordinates and manages conferences, meetings, and events. They plan logistics, handle budgeting, liaise with vendors, and ensure the smooth execution of events, catering to the needs and expectations of attendees.. Event planning Conference logistics Budget management Vendor coordination Marketing and promotion Client relations. Specialize in conference and convention planning. Coordinate speaker sessions, exhibitors, and attendee experiences. Oversee event registration and marketing."
6,Full-Time,Software Tester,4 to 12 Years,MCA,$59K-$93K,Brussels,Belgium,Quality Assurance Analyst,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.. Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing. Test software applications and systems to identify defects and ensure quality. Create test plans, test cases, and test scripts. Collaborate with development teams to resolve issues."
7,Temporary,Teacher,3 to 15 Years,PhD,$63K-$103K,George Town,Cayman Islands,Classroom Teacher,"A Classroom Teacher educates students in a specific subject or grade level. They create lesson plans, deliver instruction, assess student progress, and foster a positive learning environment.. Teaching pedagogy Classroom management Curriculum development Student assessment Differentiated instruction. Plan and deliver engaging lessons, adapting teaching methods to student needs. Assess student progress and provide feedback. Create a positive and inclusive classroom environment."
8,Contract,UX/UI Designer,2 to 8 Years,M.Com,$65K-$102K,Ṣo Tom̩,Sao Tome and Principe,User Interface Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.. UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design. Create visually appealing user interfaces (UI) that align with brand aesthetics and enhance user engagement. Design interface elements and interactive components. Ensure UI consistency across digital platforms."
9,Temporary,UX/UI Designer,2 to 9 Years,BBA,$65K-$102K,Male,Maldives,Interaction Designer,"Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.. Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes. Work on interaction design, defining how users interact with digital products and ensuring a seamless user journey. Create wireframes and prototypes to illustrate interactions. Collaborate with developers to implement interaction designs."
10,Full-Time,Wedding Planner,1 to 10 Years,BBA,$60K-$80K,Saint John's,Antigua and Barbuda,Wedding Consultant,"A Wedding Consultant assists couples in planning and coordinating their weddings, helping them with vendor selection, budget management, and ensuring a seamless wedding day experience.. Wedding planning Vendor coordination Event management. Offer expert advice and guidance to couples planning their weddings. Assist with wedding theme and design selection. Coordinate and negotiate with vendors."
